lat_start,lat_end,lng_start,lng_end,lat_center,lng_center,km_to_centroid,grid_in_berlin,degrees_to_centroid
52.60824581999756,52.65324586499761,13.088347614730992,13.181873517231974,52.63074584249759,13.135110565981483,23.08099769595911,False,154.18602716608981
52.60824581999756,52.65324586499761,13.181873517231974,13.275399419732956,52.63074584249759,13.228636468482465,18.557002743118492,False,143.3433318958937
52.60824581999756,52.65324586499761,13.275399419732956,13.368925322233938,52.63074584249759,13.322162370983447,15.359388593820277,False,121.80440071860633
52.60824581999756,52.65324586499761,13.368925322233938,13.46245122473492,52.63074584249759,13.41568827348443,14.400626317908031,True,84.09334294886382
52.60824581999756,52.65324586499761,13.46245122473492,13.555977127235902,52.63074584249759,13.509214175985411,16.086144965795718,True,50.407640273367946
52.60824581999756,52.65324586499761,13.555977127235902,13.649503029736884,52.63074584249759,13.602740078486393,19.750159396391435,False,32.81781240794852
52.60824581999756,52.65324586499761,13.649503029736884,13.743028932237866,52.63074584249759,13.696265980987375,24.521256630050118,False,23.735561713763015
52.56324577499752,52.60824581999756,13.088347614730992,13.181873517231974,52.58574579749754,13.135110565981483,20.353734168552172,True,162.49941804792047
52.56324577499752,52.60824581999756,13.181873517231974,13.275399419732956,52.58574579749754,13.228636468482465,15.023675329577102,True,154.1218243370504
52.56324577499752,52.60824581999756,13.275399419732956,13.368925322233938,52.58574579749754,13.322162370983447,10.823485673893693,True,133.57185590897734
52.56324577499752,52.60824581999756,13.368925322233938,13.46245122473492,52.58574579749754,13.41568827348443,9.411999896853871,True,80.98153171124854
52.56324577499752,52.60824581999756,13.46245122473492,13.555977127235902,52.58574579749754,13.509214175985411,11.83319771411941,True,38.2437047216357
52.56324577499752,52.60824581999756,13.555977127235902,13.649503029736884,52.58574579749754,13.602740078486393,16.47617170384767,False,22.800512368864144
52.56324577499752,52.60824581999756,13.649503029736884,13.743028932237866,52.58574579749754,13.696265980987375,21.975088600191214,False,15.993482567426295
52.518245729997474,52.56324577499752,13.088347614730992,13.181873517231974,52.5407457524975,13.135110565981483,18.598170948284423,True,171.64301438885806
52.518245729997474,52.56324577499752,13.181873517231974,13.275399419732956,52.5407457524975,13.228636468482465,12.535341868327562,True,167.26480243055158
52.518245729997474,52.56324577499752,13.275399419732956,13.368925322233938,52.5407457524975,13.322162370983447,6.961351648021345,True,153.9082977056815
52.518245729997474,52.56324577499752,13.368925322233938,13.46245122473492,52.5407457524975,13.41568827348443,4.457466546642502,True,71.18759317691247
52.518245729997474,52.56324577499752,13.46245122473492,13.555977127235902,52.5407457524975,13.509214175985411,8.447521380496205,True,20.163032638345502
52.518245729997474,52.56324577499752,13.555977127235902,13.649503029736884,52.5407457524975,13.602740078486393,14.24553118496666,True,11.080981896331998
52.518245729997474,52.56324577499752,13.649503029736884,13.743028932237866,52.5407457524975,13.696265980987375,20.3615424522052,False,7.605984208936858
52.47324568499743,52.518245729997474,13.088347614730992,13.181873517231974,52.49574570749745,13.135110565981483,18.099305475445476,False,181.23222540681607
52.47324568499743,52.518245729997474,13.181873517231974,13.275399419732956,52.49574570749745,13.228636468482465,11.774305790576975,True,181.89537519002286
52.47324568499743,52.518245729997474,13.275399419732956,13.368925322233938,52.49574570749745,13.322162370983447,5.463381908601046,True,184.10143666214452
52.47324568499743,52.518245729997474,13.368925322233938,13.46245122473492,52.49574570749745,13.41568827348443,1.1080777121515795,True,336.7413559847973
52.47324568499743,52.518245729997474,13.46245122473492,13.555977127235902,52.49574570749745,13.509214175985411,7.264448214287909,True,356.9223805023993
52.47324568499743,52.518245729997474,13.555977127235902,13.649503029736884,52.49574570749745,13.602740078486393,13.582399286004057,True,358.3573916549807
52.47324568499743,52.518245729997474,13.649503029736884,13.743028932237866,52.49574570749745,13.696265980987375,19.90868410661414,False,358.8798554752155
52.428245639997385,52.47324568499743,13.088347614730992,13.181873517231974,52.45074566249741,13.135110565981483,18.95661316848997,True,190.75351752079396
52.428245639997385,52.47324568499743,13.181873517231974,13.275399419732956,52.45074566249741,13.228636468482465,13.04642723856134,True,196.28786408699824
52.428245639997385,52.47324568499743,13.275399419732956,13.368925322233938,52.45074566249741,13.322162370983447,7.830211840586382,True,212.3390283288781
52.428245639997385,52.47324568499743,13.368925322233938,13.46245122473492,52.45074566249741,13.41568827348443,5.715087633937318,True,284.76205717972437
52.428245639997385,52.47324568499743,13.46245122473492,13.555977127235902,52.45074566249741,13.509214175985411,9.179288604998286,True,334.6049699238768
52.428245639997385,52.47324568499743,13.555977127235902,13.649503029736884,52.45074566249741,13.602740078486393,14.700458118115142,True,345.7912673634183
52.428245639997385,52.47324568499743,13.649503029736884,13.743028932237866,52.45074566249741,13.696265980987375,20.692858537628055,True,350.2049960546311
52.38324559499734,52.428245639997385,13.088347614730992,13.181873517231974,52.40574561749736,13.135110565981483,21.004688405220648,True,199.714093237557
52.38324559499734,52.428245639997385,13.181873517231974,13.275399419732956,52.40574561749736,13.228636468482465,15.870089989632145,False,208.86744281909588
52.38324559499734,52.428245639997385,13.275399419732956,13.368925322233938,52.40574561749736,13.322162370983447,11.952047671219661,True,230.06608631517173
52.38324559499734,52.428245639997385,13.368925322233938,13.46245122473492,52.40574561749736,13.41568827348443,10.685138246962323,True,277.9505192038427
52.38324559499734,52.428245639997385,13.46245122473492,13.555977127235902,52.40574561749736,13.509214175985411,12.877189591727191,True,318.14948462386076
52.38324559499734,52.428245639997385,13.555977127235902,13.649503029736884,52.40574561749736,13.602740078486393,17.25690743719417,True,334.4650099922038
52.38324559499734,52.428245639997385,13.649503029736884,13.743028932237866,52.40574561749736,13.696265980987375,22.585581370354923,True,341.95813613183986
52.338245549997296,52.38324559499734,13.088347614730992,13.181873517231974,52.36074557249732,13.135110565981483,23.93984367608248,False,207.77753455219985
52.338245549997296,52.38324559499734,13.181873517231974,13.275399419732956,52.36074557249732,13.228636468482465,19.58534540450497,False,219.02083977458273
52.338245549997296,52.38324559499734,13.275399419732956,13.368925322233938,52.36074557249732,13.322162370983447,16.567022064303465,False,240.33910823407444
52.338245549997296,52.38324559499734,13.368925322233938,13.46245122473492,52.36074557249732,13.41568827348443,15.676660814582364,False,275.42726055617686
52.338245549997296,52.38324559499734,13.46245122473492,13.555977127235902,52.36074557249732,13.509214175985411,17.247035261757738,False,307.21672225500447
52.338245549997296,52.38324559499734,13.555977127235902,13.649503029736884,52.36074557249732,13.602740078486393,20.72616044048262,False,324.92156318497905
52.338245549997296,52.38324559499734,13.649503029736884,13.743028932237866,52.36074557249732,13.696265980987375,25.339652266609406,False,334.414192829745
