lat_start,lat_end,lng_start,lng_end,lat_center,lng_center,km_to_centroid,grid_in_location,degrees_to_centroid,comfort_leisure_spots,activities_education,negative_street_motorway,mobility_public_transport_bus,activities_economic,activities_goverment,social_life_eating,comfort_comfort_spots,social_life_culture,negative_street_secondary,activities_public_service,social_life_community,comfort_leisure_mass,activities_educational,mobility_public_transport_rail,social_life_night_life,comfort_green_natural,negative_street_primary,mobility_bike_infraestructure,comfort_green_forests,comfort_lakes,activities_health_regional,activities_health_local,comfort_green_space,comfort_rivers,negative_warehouse,negative_retail,activities_post,negative_railway,negative_industrial,comfort_green_parks,negative_supermarket,activities_mean,comfort_mean,mobility_mean,social_mean,negative_mean
-22.900026087400004,-22.899126086500004,-42.7983728,-42.79688431927781,-22.899576086950006,-42.79762855963891,0.9885127721030786,False,38.57488263083829,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.05298788],[0.],0.0,0.0058875424888033875,0.0,0.0,0.0
-22.900026087400004,-22.899126086500004,-42.79688431927781,-42.79539583855561,-22.899576086950006,-42.79614007891671,0.8789336116123251,False,45.05704616604328,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.04854541],[0.],0.0,0.005393934955056413,0.0,0.0,0.0
-22.900026087400004,-22.899126086500004,-42.79539583855561,-42.79390735783342,-22.899576086950006,-42.79465159819452,0.7838249945537354,False,53.416600038779464,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.03720054],[0.],0.0,0.004133393516629213,0.0,0.0,0.0
-22.900026087400004,-22.899126086500004,-42.79390735783342,-42.792418877111224,-22.899576086950006,-42.79316311747232,0.7090341924184466,False,64.06071381773107,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.02358538],[0.],0.0,0.002620597624401909,0.0,0.0,0.0
-22.900026087400004,-22.899126086500004,-42.792418877111224,-42.79093039638903,-22.899576086950006,-42.79167463675013,0.6614891423379982,False,77.01312299661409,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.01229425],[0.],0.0,0.0013660281776341938,0.0,0.0,0.0
-22.900026087400004,-22.899126086500004,-42.79093039638903,-42.789441915666835,-22.899576086950006,-42.79018615602793,0.6472223886187203,False,91.4416941965744,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.00612813],[0.],0.0,0.0006809028757865248,0.0,0.0,0.0
-22.900026087400004,-22.899126086500004,-42.789441915666835,-42.78795343494464,-22.899576086950006,-42.78869767530574,0.6683683795003083,True,105.69335576962389,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.00612813],[0.],0.0,0.0006809028757865248,0.0,0.0,0.0
-22.900026087400004,-22.899126086500004,-42.78795343494464,-42.786464954222446,-22.899576086950006,-42.78720919458354,0.7218215129714075,True,118.2249810015486,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.01229425],[0.],0.0,0.0013660281776341938,0.0,0.0,0.0
-22.900026087400004,-22.899126086500004,-42.786464954222446,-42.78497647350025,-22.899576086950006,-42.78572071386135,0.8011409600924463,True,128.39863199304736,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.02358538],[0.],0.0,0.002620597624401909,0.0,0.0,0.0
-22.900026087400004,-22.899126086500004,-42.78497647350025,-42.783487992778056,-22.899576086950006,-42.78423223313915,0.8995098191538158,False,136.3520684875704,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.03720054],[0.],0.0,0.004133393516629213,0.0,0.0,0.0
-22.900026087400004,-22.899126086500004,-42.783487992778056,-42.78199951205586,-22.899576086950006,-42.78274375241696,1.0113849549094667,False,142.51942291032398,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.04854541],[0.],0.0,0.005393934955056413,0.0,0.0,0.0
-22.900926088300004,-22.900026087400004,-42.7983728,-42.79688431927781,-22.900476087850002,-42.79762855963891,0.9261001316951107,False,33.98847214419988,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.1313775],[0.],0.0,0.014597499982599012,0.0,0.0,0.0
-22.900926088300004,-22.900026087400004,-42.79688431927781,-42.79539583855561,-22.900476087850002,-42.79614007891671,0.8081024717441998,False,40.26527759166716,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.12092618],[0.],0.0,0.013436241810465314,0.0,0.0,0.0
-22.900926088300004,-22.900026087400004,-42.79539583855561,-42.79390735783342,-22.900476087850002,-42.79465159819452,0.7034827522444845,False,48.71642037809964,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.0942363],[0.],0.0,0.010470699458275242,0.0,0.0,0.0
-22.900926088300004,-22.900026087400004,-42.79390735783342,-42.792418877111224,-22.900476087850002,-42.79316311747232,0.6190610531576042,False,60.083084321689654,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.06220534],[0.],0.0,0.006911704766108015,0.0,0.0,0.0
-22.900926088300004,-22.900026087400004,-42.792418877111224,-42.79093039638903,-22.900476087850002,-42.79167463675013,0.5639817544457415,False,74.73977443772439,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.03564191],[0.],0.0,0.003960212086267645,0.0,0.0,0.0
-22.900926088300004,-22.900026087400004,-42.79093039638903,-42.789441915666835,-22.900476087850002,-42.79018615602793,0.5471786528577044,True,91.70532642230808,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.02113551],[0.],0.0,0.0023483903426513883,0.0,0.0,0.0
-22.900926088300004,-22.900026087400004,-42.789441915666835,-42.78795343494464,-22.900476087850002,-42.78869767530574,0.5720347576202289,True,108.38514252747113,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.02113551],[0.],0.0,0.0023483903426513883,0.0,0.0,0.0
-22.900926088300004,-22.900026087400004,-42.78795343494464,-42.786464954222446,-22.900476087850002,-42.78720919458354,0.6336665343007426,True,122.41404188848627,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.03564191],[0.],0.0,0.003960212086267645,0.0,0.0,0.0
-22.900926088300004,-22.900026087400004,-42.786464954222446,-42.78497647350025,-22.900476087850002,-42.78572071386135,0.7227261005633784,True,133.15417420564972,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.06220534],[0.],0.0,0.006911704766108015,0.0,0.0,0.0
-22.900926088300004,-22.900026087400004,-42.78497647350025,-42.783487992778056,-22.900476087850002,-42.78423223313915,0.8304354178043278,False,141.1189783772785,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.0942363],[0.],0.0,0.010470699458275242,0.0,0.0,0.0
-22.900926088300004,-22.900026087400004,-42.783487992778056,-42.78199951205586,-22.900476087850002,-42.78274375241696,0.9504752373405949,False,147.04895689455248,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.12092618],[0.],0.0,0.013436241810465314,0.0,0.0,0.0
-22.901826089200004,-22.900926088300004,-42.7983728,-42.79688431927781,-22.901376088750006,-42.79762855963891,0.8707442978167856,False,28.848594002959505,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.27451404],[0.],0.0,0.030501559590902227,0.0,0.0,0.0
-22.901826089200004,-22.900926088300004,-42.79688431927781,-42.79539583855561,-22.901376088750006,-42.79614007891671,0.7440195837677269,False,34.685070401386426,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.25309076],[0.],0.0,0.028121196095006858,0.0,0.0,0.0
-22.901826089200004,-22.900926088300004,-42.79539583855561,-42.79390735783342,-22.901376088750006,-42.79465159819452,0.6288279322067483,False,42.939780159705826,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.19838147],[0.],0.0,0.022042385258554714,0.0,0.0,0.0
-22.901826089200004,-22.900926088300004,-42.79390735783342,-42.792418877111224,-22.901376088750006,-42.79316311747232,0.532704340204507,False,54.84395249057756,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.13272397],[0.],0.0,0.014747107386146445,0.0,0.0,0.0
-22.901826089200004,-22.900926088300004,-42.792418877111224,-42.79093039638903,-22.901376088750006,-42.79167463675013,0.4675608819106289,True,71.53493890070371,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.07827386],[0.],0.0,0.008697095767640009,0.0,0.0,0.0
-22.901826089200004,-22.900926088300004,-42.79093039638903,-42.789441915666835,-22.901376088750006,-42.79018615602793,0.4471491484827025,True,92.0869001799523,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.04853845],[0.],0.0,0.005393160663058604,0.0,0.0,0.0
-22.901826089200004,-22.900926088300004,-42.789441915666835,-42.78795343494464,-22.901376088750006,-42.78869767530574,0.4772436088232165,True,112.13630392753758,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.04853845],[0.],0.0,0.005393160663058604,0.0,0.0,0.0
-22.901826089200004,-22.900926088300004,-42.78795343494464,-42.786464954222446,-22.901376088750006,-42.78720919458354,0.549609390214615,True,127.85267123067489,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.07827386],[0.],0.0,0.008697095767640009,0.0,0.0,0.0
-22.901826089200004,-22.900926088300004,-42.786464954222446,-42.78497647350025,-22.901376088750006,-42.78572071386135,0.6502841070857881,True,138.92940307447688,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.13272397],[0.],0.0,0.014747107386146445,0.0,0.0,0.0
-22.901826089200004,-22.900926088300004,-42.78497647350025,-42.783487992778056,-22.901376088750006,-42.78423223313915,0.7682175971045987,False,146.62233079331222,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.19838147],[0.],0.0,0.022042385258554714,0.0,0.0,0.0
-22.901826089200004,-22.900926088300004,-42.783487992778056,-42.78199951205586,-22.901376088750006,-42.78274375241696,0.8966253685405791,False,152.09437831119658,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.25309076],[0.],0.0,0.028121196095006858,0.0,0.0,0.0
-22.902726090100003,-22.901826089200004,-42.7983728,-42.79688431927781,-22.90227608965,-42.79762855963891,0.8238689430833392,False,23.14687373404705,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.48421285],[0.],0.0,0.053801427555729066,0.0,0.0,0.0
-22.902726090100003,-22.901826089200004,-42.79688431927781,-42.79539583855561,-22.90227608965,-42.79614007891671,0.6885716391171242,False,28.239109422725857,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.44671538],[0.],0.0,0.04963504251700482,0.0,0.0,0.0
-22.902726090100003,-22.901826089200004,-42.79539583855561,-42.79390735783342,-22.90227608965,-42.79465159819452,0.5621311047639084,True,35.83567817653939,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.3509569],[0.],0.0,0.038995211009799406,0.0,0.0,0.0
-22.902726090100003,-22.901826089200004,-42.79390735783342,-42.792418877111224,-22.90227608965,-42.79316311747232,0.45204144237994276,True,47.776489188127684,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.23603562],[0.],0.0,0.026226179459218936,0.0,0.0,0.0
-22.902726090100003,-22.901826089200004,-42.792418877111224,-42.79093039638903,-22.90227608965,-42.79167463675013,0.3730699160602668,True,66.71927359889904,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.1407308],[0.],0.0,0.01563675564436089,0.0,0.0,0.0
-22.902726090100003,-22.901826089200004,-42.79093039638903,-42.789441915666835,-22.90227608965,-42.79018615602793,0.34714617795437674,True,92.68829098478435,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.08868447],[0.],0.0,0.009853829712090196,0.0,0.0,0.0
-22.902726090100003,-22.901826089200004,-42.789441915666835,-42.78795343494464,-22.90227608965,-42.78869767530574,0.3851355416329383,True,117.66250789795048,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.08868447],[0.],0.0,0.009853829712090196,0.0,0.0,0.0
-22.902726090100003,-22.901826089200004,-42.78795343494464,-42.786464954222446,-22.90227608965,-42.78720919458354,0.4718452203302912,True,135.0400962831475,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.1407308],[0.],0.0,0.01563675564436089,0.0,0.0,0.0
-22.902726090100003,-22.901826089200004,-42.786464954222446,-42.78497647350025,-22.90227608965,-42.78572071386135,0.5860341700092224,True,145.92933396530844,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.23603562],[0.],0.0,0.026226179459218936,0.0,0.0,0.0
-22.902726090100003,-22.901826089200004,-42.78497647350025,-42.783487992778056,-22.90227608965,-42.78423223313915,0.714649420924823,True,152.91991275035755,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.3509569],[0.],0.0,0.038995211009799406,0.0,0.0,0.0
-22.902726090100003,-22.901826089200004,-42.783487992778056,-42.78199951205586,-22.90227608965,-42.78274375241696,0.8511763337628345,False,157.65717622534484,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.44671538],[0.],0.0,0.04963504251700482,0.0,0.0,0.0
-22.903626091000003,-22.902726090100003,-42.7983728,-42.79688431927781,-22.903176090550005,-42.79762855963891,0.7869908916337287,False,16.91699335328872,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.72479011],[0.],0.0,0.08053223446197598,0.0,0.0,0.0
-22.903626091000003,-22.902726090100003,-42.79688431927781,-42.79539583855561,-22.903176090550005,-42.79614007891671,0.6439929256886486,True,20.911932371661102,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.6688515],[0.],0.0,0.07431683364926422,0.0,0.0,0.0
-22.903626091000003,-22.902726090100003,-42.79539583855561,-42.79390735783342,-22.903176090550005,-42.79465159819452,0.5065455700752135,True,27.19353433064001,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.52599928],[0.],0.0,0.05844436464259511,0.0,0.0,0.0
-22.903626091000003,-22.902726090100003,-42.79390735783342,-42.792418877111224,-22.903176090550005,-42.79316311747232,0.380708868039054,True,38.09549134997264,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.35456005],[0.],0.0,0.039395561342043375,0.0,0.0,0.0
-22.903626091000003,-22.902726090100003,-42.792418877111224,-42.79093039638903,-22.903176090550005,-42.79167463675013,0.2824524230282346,True,58.83536652500963,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.21238461],[0.],0.0,0.02359829038093911,0.0,0.0,0.0
-22.903626091000003,-22.902726090100003,-42.79093039638903,-42.789441915666835,-22.903176090550005,-42.79018615602793,0.24720194534037498,True,93.77590887370637,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.13474205],[0.],0.0,0.014971338669751862,0.0,0.0,0.0
-22.903626091000003,-22.902726090100003,-42.789441915666835,-42.78795343494464,-22.903176090550005,-42.78869767530574,0.29820719931419876,True,126.38180078818233,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.13474205],[0.],0.0,0.014971338669751862,0.0,0.0,0.0
-22.903626091000003,-22.902726090100003,-42.78795343494464,-42.786464954222446,-22.903176090550005,-42.78720919458354,0.40402421598266863,True,144.60792957601535,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.21238461],[0.],0.0,0.02359829038093911,0.0,0.0,0.0
